,Order ID,Customer Name,Order Amount,Order Date
133,134,Customer 134,1434.06,2024-04-20
134,135,Customer 135,85.21,2024-10-24
135,136,Customer 136,1364.59,2024-09-08
136,137,Customer 137,922.04,2024-09-10
137,138,Customer 138,563.52,2024-05-11
138,139,Customer 139,136.17,2023-11-03
139,140,Customer 140,1043.78,2024-03-26
140,141,Customer 141,46.16,2024-03-16
141,142,Customer 142,214.59,2024-08-22
142,143,Customer 143,514.15,2023-11-23
143,144,Customer 144,1328.33,2024-02-15
144,145,Customer 145,1012.02,2024-09-14
145,146,Customer 146,660.02,2024-05-07
146,147,Customer 147,977.3,2023-12-01
147,148,Customer 148,210.36,2024-07-28
148,149,Customer 149,807.91,2024-10-18
149,150,Customer 150,976.34,2024-07-27
150,151,Customer 151,199.43,2024-02-20
151,152,Customer 152,267.92,2023-12-21
152,153,Customer 153,614.46,2024-02-27
153,154,Customer 154,1351.59,2024-09-30
154,155,Customer 155,1458.55,2024-01-28
155,156,Customer 156,521.55,2024-10-11
156,157,Customer 157,1211.58,2023-12-23
157,158,Customer 158,1011.59,2024-10-06
158,159,Customer 159,64.22,2023-10-27
159,160,Customer 160,1390.24,2024-08-12
160,161,Customer 161,152.2,2023-12-11
161,162,Customer 162,1309.53,2024-06-27
162,163,Customer 163,123.41,2023-12-06
163,164,Customer 164,1166.93,2024-04-27
164,165,Customer 165,686.02,2024-04-02
165,166,Customer 166,698.64,2023-10-30
166,167,Customer 167,508.26,2024-06-11
167,168,Customer 168,582.86,2024-08-16
168,169,Customer 169,489.21,2024-10-04
169,170,Customer 170,1047.26,2024-01-20
170,171,Customer 171,208.0,2024-05-20
171,172,Customer 172,1486.02,2024-08-17
172,173,Customer 173,1237.46,2024-08-22
173,174,Customer 174,169.19,2024-10-22
174,175,Customer 175,925.64,2023-12-29
175,176,Customer 176,820.98,2024-09-26
176,177,Customer 177,342.73,2023-12-20
177,178,Customer 178,689.16,2024-10-09
178,179,Customer 179,704.5,2023-11-25
179,180,Customer 180,1106.36,2024-02-02
180,181,Customer 181,1169.1,2023-12-09
181,182,Customer 182,1494.41,2024-08-28
182,183,Customer 183,253.49,2024-04-03
183,184,Customer 184,307.63,2024-07-28
184,185,Customer 185,376.97,2024-04-10
185,186,Customer 186,75.63,2024-01-09
186,187,Customer 187,628.78,2024-03-22
187,188,Customer 188,222.81,2024-07-13
188,189,Customer 189,1075.45,2024-01-23
189,190,Customer 190,334.12,2024-06-24
190,191,Customer 191,158.14,2024-03-02
191,192,Customer 192,1333.82,2023-12-29
192,193,Customer 193,634.01,2023-12-01
193,194,Customer 194,656.93,2024-01-07
194,195,Customer 195,671.03,2023-10-30
195,196,Customer 196,537.82,2023-11-10
196,197,Customer 197,533.94,2024-07-06
197,198,Customer 198,1072.86,2023-11-30
198,199,Customer 199,743.23,2024-05-06
199,200,Customer 200,928.44,2024-10-26
200,201,Customer 201,684.5,2024-08-13
201,202,Customer 202,771.91,2024-06-08
202,203,Customer 203,1031.96,2024-07-01
203,204,Customer 204,255.38,2024-04-01
204,205,Customer 205,1434.63,2023-11-18
205,206,Customer 206,1112.37,2024-08-21
206,207,Customer 207,319.67,2024-04-19
207,208,Customer 208,1166.3,2024-03-08
208,209,Customer 209,249.0,2024-09-27
209,210,Customer 210,1078.04,2023-12-02
210,211,Customer 211,1338.76,2024-05-18
211,212,Customer 212,1403.02,2024-04-14
212,213,Customer 213,28.54,2023-11-19
213,214,Customer 214,479.5,2024-01-11
214,215,Customer 215,784.77,2024-03-09
215,216,Customer 216,119.97,2023-11-30
216,217,Customer 217,1458.79,2024-07-06
217,218,Customer 218,1107.09,2024-05-04
218,219,Customer 219,214.71,2024-03-24
219,220,Customer 220,1450.8,2023-11-30
220,221,Customer 221,691.54,2024-09-17
221,222,Customer 222,1463.57,2024-03-10
222,223,Customer 223,124.08,2024-08-27
223,224,Customer 224,1156.83,2024-09-26
224,225,Customer 225,720.44,2024-07-30
225,226,Customer 226,950.57,2024-04-22
226,227,Customer 227,1252.76,2023-11-25
227,228,Customer 228,477.35,2024-03-30
228,229,Customer 229,928.15,2024-04-05
229,230,Customer 230,884.3,2024-04-06
230,231,Customer 231,518.32,2024-09-08
231,232,Customer 232,244.49,2024-09-13
232,233,Customer 233,39.17,2024-10-02
233,234,Customer 234,229.82,2024-01-09
234,235,Customer 235,332.2,2023-10-30
235,236,Customer 236,540.71,2024-05-28
236,237,Customer 237,291.96,2023-12-16
237,238,Customer 238,245.8,2024-04-26
238,239,Customer 239,53.84,2024-06-12
239,240,Customer 240,671.34,2023-12-11
240,241,Customer 241,161.07,2024-04-03
241,242,Customer 242,1105.2,2024-04-30
242,243,Customer 243,752.77,2023-12-29
243,244,Customer 244,208.35,2024-10-22
244,245,Customer 245,1032.05,2024-06-01
245,246,Customer 246,364.04,2024-10-18
246,247,Customer 247,645.87,2024-01-02
247,248,Customer 248,280.01,2023-12-04
248,249,Customer 249,1330.68,2024-02-08
249,250,Customer 250,870.59,2024-07-03
250,251,Customer 251,1055.88,2024-04-09
251,252,Customer 252,1285.75,2023-11-23
252,253,Customer 253,1317.88,2024-07-07
253,254,Customer 254,904.92,2023-11-09
254,255,Customer 255,127.93,2024-06-29
255,256,Customer 256,524.73,2024-10-06
256,257,Customer 257,88.06,2024-04-16
257,258,Customer 258,1308.11,2024-04-15
258,259,Customer 259,343.21,2024-05-09
259,260,Customer 260,1484.06,2023-11-21
260,261,Customer 261,919.45,2024-02-24
261,262,Customer 262,1481.51,2024-08-22
262,263,Customer 263,1330.73,2023-11-30
263,264,Customer 264,258.22,2024-03-23
264,265,Customer 265,1061.34,2023-12-30
265,266,Customer 266,1002.22,2024-09-07
266,267,Customer 267,328.11,2023-12-14
267,268,Customer 268,270.55,2023-10-31
268,269,Customer 269,773.35,2023-11-04
269,270,Customer 270,200.5,2024-05-24
270,271,Customer 271,281.0,2023-12-30
271,272,Customer 272,205.04,2024-04-12
272,273,Customer 273,1098.34,2024-08-11
273,274,Customer 274,1327.29,2024-04-27
274,275,Customer 275,1026.95,2024-04-13
275,276,Customer 276,525.47,2024-10-09
276,277,Customer 277,462.72,2024-02-25
277,278,Customer 278,151.67,2024-05-11
278,279,Customer 279,340.98,2024-04-16
279,280,Customer 280,1391.4,2024-10-03
280,281,Customer 281,991.22,2024-05-06
281,282,Customer 282,972.17,2024-08-25
282,283,Customer 283,44.26,2023-12-31
283,284,Customer 284,701.77,2023-11-24
284,285,Customer 285,1011.65,2024-01-16
285,286,Customer 286,673.16,2024-08-17
286,287,Customer 287,342.62,2024-05-09
287,288,Customer 288,985.5,2024-02-21
288,289,Customer 289,713.91,2024-01-15
289,290,Customer 290,394.28,2023-11-21
290,291,Customer 291,1047.06,2023-12-25
291,292,Customer 292,1187.26,2024-04-15
292,293,Customer 293,1494.56,2024-05-13
293,294,Customer 294,190.89,2024-04-17
294,295,Customer 295,810.92,2024-04-14
295,296,Customer 296,1315.48,2024-03-08
296,297,Customer 297,1032.2,2024-07-22
297,298,Customer 298,352.04,2024-01-07
298,299,Customer 299,314.21,2023-11-22
299,300,Customer 300,85.79,2024-03-30
300,301,Customer 301,738.29,2024-03-03
301,302,Customer 302,732.76,2024-10-22
302,303,Customer 303,1331.83,2024-06-20
303,304,Customer 304,123.79,2024-01-11
304,305,Customer 305,1418.64,2024-05-29
305,306,Customer 306,1030.66,2024-03-14
306,307,Customer 307,789.69,2024-05-30
307,308,Customer 308,778.29,2024-10-05
308,309,Customer 309,29.39,2024-10-16
309,310,Customer 310,972.0,2024-09-06
310,311,Customer 311,1247.71,2023-12-09
311,312,Customer 312,1398.89,2024-07-25
312,313,Customer 313,611.08,2024-07-14
313,314,Customer 314,1167.35,2024-05-10
314,315,Customer 315,1177.54,2024-01-07
315,316,Customer 316,481.05,2024-06-23
316,317,Customer 317,699.91,2024-05-17
317,318,Customer 318,292.65,2023-12-08
318,319,Customer 319,950.57,2024-08-09
319,320,Customer 320,1198.72,2024-01-20
320,321,Customer 321,604.68,2024-01-07
321,322,Customer 322,879.3,2024-09-09
322,323,Customer 323,1216.69,2024-10-01
323,324,Customer 324,464.33,2024-06-19
324,325,Customer 325,1430.99,2023-11-03
325,326,Customer 326,360.05,2024-05-18
326,327,Customer 327,1405.35,2024-10-04
327,328,Customer 328,1290.99,2024-10-11
328,329,Customer 329,459.52,2023-11-26
329,330,Customer 330,1349.13,2024-06-07
330,331,Customer 331,1311.38,2024-03-26
331,332,Customer 332,153.64,2024-02-13
332,333,Customer 333,747.35,2024-10-06
333,334,Customer 334,1229.9,2024-04-04
334,335,Customer 335,254.21,2024-02-15
335,336,Customer 336,1153.14,2024-06-01
336,337,Customer 337,166.33,2024-05-09
337,338,Customer 338,1464.56,2024-06-25
338,339,Customer 339,767.02,2023-12-23
339,340,Customer 340,1456.39,2024-03-08
340,341,Customer 341,596.81,2024-10-06
341,342,Customer 342,546.04,2024-07-14
342,343,Customer 343,1339.91,2024-03-07
343,344,Customer 344,441.66,2024-01-03
344,345,Customer 345,1137.84,2024-05-30
345,346,Customer 346,1306.75,2024-09-08
346,347,Customer 347,1183.68,2024-01-04
347,348,Customer 348,1396.25,2024-08-15
348,349,Customer 349,408.93,2024-09-12
349,350,Customer 350,999.83,2024-02-23
350,351,Customer 351,548.49,2024-04-02
351,352,Customer 352,212.04,2024-08-30
352,353,Customer 353,1265.63,2024-01-14
353,354,Customer 354,844.12,2024-09-12
354,355,Customer 355,201.96,2024-10-14
355,356,Customer 356,853.98,2023-11-03
356,357,Customer 357,227.64,2024-01-16
357,358,Customer 358,60.03,2024-06-25
358,359,Customer 359,330.05,2023-12-10
359,360,Customer 360,1017.19,2024-02-11
360,361,Customer 361,27.33,2024-07-20
361,362,Customer 362,1024.7,2024-08-29
362,363,Customer 363,645.02,2024-08-08
363,364,Customer 364,540.39,2024-02-14
364,365,Customer 365,685.02,2024-03-02
365,366,Customer 366,1331.1,2024-07-26
366,367,Customer 367,594.57,2024-01-20
367,368,Customer 368,809.83,2024-03-18
368,369,Customer 369,1004.95,2024-01-05
369,370,Customer 370,510.84,2023-11-20
370,371,Customer 371,1103.27,2024-02-16
371,372,Customer 372,1050.88,2023-11-05
372,373,Customer 373,454.84,2023-12-12
373,374,Customer 374,1300.49,2024-06-23
374,375,Customer 375,325.11,2024-10-07
375,376,Customer 376,1286.04,2023-12-28
376,377,Customer 377,724.81,2024-05-04
377,378,Customer 378,840.63,2024-05-30
378,379,Customer 379,451.48,2023-11-06
379,380,Customer 380,429.55,2024-03-01
380,381,Customer 381,664.6,2024-05-25
381,382,Customer 382,1170.97,2024-03-03
382,383,Customer 383,1411.89,2024-05-02
383,384,Customer 384,1215.1,2024-07-19
384,385,Customer 385,1324.77,2023-11-15
385,386,Customer 386,984.94,2024-05-15
386,387,Customer 387,1044.75,2023-11-09
387,388,Customer 388,298.91,2024-08-23
388,389,Customer 389,615.9,2024-06-09
389,390,Customer 390,836.3,2024-09-03
390,391,Customer 391,1326.6,2023-12-30
391,392,Customer 392,197.99,2023-11-10
392,393,Customer 393,303.7,2024-02-03
393,394,Customer 394,447.06,2024-03-26
394,395,Customer 395,218.76,2024-07-27
395,396,Customer 396,711.69,2023-11-05
396,397,Customer 397,1318.55,2024-01-04
397,398,Customer 398,1052.44,2024-04-25
398,399,Customer 399,609.19,2024-06-29
399,400,Customer 400,1022.81,2023-12-22
400,401,Customer 401,884.52,2024-03-28
401,402,Customer 402,132.96,2024-04-14
402,403,Customer 403,834.38,2024-08-11
403,404,Customer 404,1359.71,2024-02-16
404,405,Customer 405,770.02,2024-02-09
405,406,Customer 406,866.64,2024-09-04
406,407,Customer 407,139.88,2024-01-22
407,408,Customer 408,1397.87,2023-12-08
408,409,Customer 409,810.21,2024-08-17
409,410,Customer 410,894.11,2023-12-06
410,411,Customer 411,535.48,2024-08-30
411,412,Customer 412,1313.96,2024-09-02
412,413,Customer 413,512.88,2024-08-27
413,414,Customer 414,1078.83,2024-10-11
414,415,Customer 415,369.56,2024-01-20
415,416,Customer 416,1087.37,2023-11-14
416,417,Customer 417,615.43,2024-05-09
417,418,Customer 418,1340.43,2024-01-14
418,419,Customer 419,342.85,2024-02-07
419,420,Customer 420,805.32,2023-12-01
420,421,Customer 421,954.69,2024-02-14
421,422,Customer 422,73.35,2024-08-20
422,423,Customer 423,1090.27,2024-09-26
423,424,Customer 424,1152.42,2024-08-31
424,425,Customer 425,761.08,2024-05-27
425,426,Customer 426,1346.03,2023-11-11
426,427,Customer 427,862.31,2024-09-13
427,428,Customer 428,1082.56,2024-07-08
428,429,Customer 429,900.95,2023-12-29
429,430,Customer 430,1175.62,2024-07-02
430,431,Customer 431,1458.39,2024-04-10
431,432,Customer 432,373.68,2024-07-08
432,433,Customer 433,291.52,2024-06-27
433,434,Customer 434,199.82,2024-04-25
434,435,Customer 435,1092.02,2023-11-14
435,436,Customer 436,1441.29,2024-01-29
436,437,Customer 437,776.38,2024-09-14
437,438,Customer 438,1360.35,2024-09-22
438,439,Customer 439,924.67,2024-06-03
439,440,Customer 440,791.19,2024-10-06
440,441,Customer 441,1382.55,2024-08-06
441,442,Customer 442,1009.81,2024-05-23
442,443,Customer 443,1202.06,2024-06-14
443,444,Customer 444,1044.92,2023-12-20
444,445,Customer 445,920.02,2024-04-21
445,446,Customer 446,1041.46,2024-03-20
446,447,Customer 447,469.55,2024-07-31
447,448,Customer 448,53.0,2024-01-09
448,449,Customer 449,1369.93,2024-10-13
449,450,Customer 450,1349.6,2024-01-06
450,451,Customer 451,777.17,2023-10-27
451,452,Customer 452,702.71,2024-03-13
452,453,Customer 453,508.45,2024-09-21
453,454,Customer 454,608.57,2024-04-04
454,455,Customer 455,448.83,2024-06-03
455,456,Customer 456,942.77,2024-04-13
456,457,Customer 457,1014.92,2024-03-28
457,458,Customer 458,248.3,2024-03-18
458,459,Customer 459,1037.37,2023-11-08
459,460,Customer 460,1267.6,2024-04-19
460,461,Customer 461,579.84,2024-06-11
461,462,Customer 462,803.13,2024-01-05
462,463,Customer 463,1142.98,2024-04-21
463,464,Customer 464,687.1,2024-09-03
464,465,Customer 465,957.93,2024-08-03
465,466,Customer 466,1140.94,2024-02-26
466,467,Customer 467,217.08,2024-03-06
467,468,Customer 468,1378.43,2023-11-05
468,469,Customer 469,1121.6,2024-09-21
469,470,Customer 470,207.84,2024-08-30
470,471,Customer 471,1016.15,2024-08-05
471,472,Customer 472,463.53,2024-04-01
472,473,Customer 473,364.93,2024-06-28
473,474,Customer 474,1069.04,2024-04-22
474,475,Customer 475,1354.91,2023-11-07
475,476,Customer 476,946.13,2024-08-15
476,477,Customer 477,40.29,2024-02-13
477,478,Customer 478,1122.29,2024-10-10
478,479,Customer 479,1252.32,2024-04-16
479,480,Customer 480,217.01,2024-06-22
480,481,Customer 481,212.27,2024-07-17
481,482,Customer 482,840.96,2024-06-04
482,483,Customer 483,1243.63,2024-02-09
483,484,Customer 484,1349.75,2024-08-16
484,485,Customer 485,984.52,2024-07-14
485,486,Customer 486,1473.82,2024-05-10
486,487,Customer 487,1163.68,2024-01-24
487,488,Customer 488,178.66,2023-12-16
488,489,Customer 489,294.01,2023-12-20
489,490,Customer 490,400.37,2024-09-09
490,491,Customer 491,1068.39,2024-09-13
491,492,Customer 492,235.37,2024-03-09
492,493,Customer 493,167.68,2024-05-17
493,494,Customer 494,380.12,2024-05-11
494,495,Customer 495,948.46,2023-11-27
495,496,Customer 496,1166.64,2024-10-16
496,497,Customer 497,475.9,2024-06-27
497,498,Customer 498,633.12,2024-07-06
498,499,Customer 499,1492.58,2024-05-02
499,500,Customer 500,812.4,2024-09-15
500,501,Customer 501,528.44,2023-11-14
501,502,Customer 502,1083.0,2024-06-18
502,503,Customer 503,598.33,2024-07-01
503,504,Customer 504,637.33,2023-11-29
504,505,Customer 505,871.66,2024-01-20
505,506,Customer 506,905.84,2024-10-09
506,507,Customer 507,1475.68,2024-09-06
507,508,Customer 508,1352.21,2023-12-22
508,509,Customer 509,1147.84,2023-11-07
509,510,Customer 510,1441.07,2024-05-08
510,511,Customer 511,285.82,2024-05-10
511,512,Customer 512,878.31,2024-08-11
512,513,Customer 513,463.86,2024-04-30
513,514,Customer 514,703.25,2024-06-21
514,515,Customer 515,245.94,2024-06-04
515,516,Customer 516,65.22,2023-11-18
516,517,Customer 517,1352.82,2024-03-28
517,518,Customer 518,1119.16,2024-01-13
518,519,Customer 519,998.92,2024-03-27
519,520,Customer 520,1125.87,2023-11-01
520,521,Customer 521,179.32,2024-07-09
521,522,Customer 522,409.2,2024-05-27
522,523,Customer 523,422.65,2024-05-14
523,524,Customer 524,1319.99,2024-08-10
524,525,Customer 525,167.36,2024-08-18
525,526,Customer 526,1130.51,2024-08-21
526,527,Customer 527,483.34,2024-10-20
527,528,Customer 528,1130.94,2024-06-04
528,529,Customer 529,425.28,2023-12-22
529,530,Customer 530,1189.14,2024-05-02
530,531,Customer 531,971.57,2024-02-19
531,532,Customer 532,785.8,2024-06-13
532,533,Customer 533,343.83,2024-08-15
533,534,Customer 534,323.04,2023-11-05
534,535,Customer 535,440.68,2023-11-01
535,536,Customer 536,1399.95,2024-07-09
536,537,Customer 537,727.57,2024-09-24
537,538,Customer 538,392.81,2024-08-07
538,539,Customer 539,225.07,2024-09-23
539,540,Customer 540,377.46,2024-05-19
540,541,Customer 541,424.96,2024-02-08
541,542,Customer 542,731.08,2024-02-16
542,543,Customer 543,321.28,2024-02-14
543,544,Customer 544,702.61,2024-08-22
544,545,Customer 545,1211.48,2023-11-27
545,546,Customer 546,587.15,2024-02-22
546,547,Customer 547,134.86,2023-11-06
547,548,Customer 548,1234.11,2024-07-30
548,549,Customer 549,805.67,2024-09-04
549,550,Customer 550,189.69,2024-02-20
550,551,Customer 551,861.65,2024-07-27
551,552,Customer 552,1256.45,2024-03-29
552,553,Customer 553,475.63,2024-02-26
553,554,Customer 554,989.35,2024-03-03
554,555,Customer 555,537.27,2023-12-06
555,556,Customer 556,1450.33,2023-11-01
556,557,Customer 557,1003.89,2024-01-09
557,558,Customer 558,1029.01,2024-01-28
558,559,Customer 559,1468.07,2024-04-04
559,560,Customer 560,720.39,2024-10-12
560,561,Customer 561,939.43,2024-09-02
561,562,Customer 562,436.09,2023-11-15
562,563,Customer 563,124.84,2024-06-27
563,564,Customer 564,326.52,2024-05-11
564,565,Customer 565,474.27,2024-04-19
565,566,Customer 566,140.54,2024-06-21
566,567,Customer 567,635.72,2024-02-15
567,568,Customer 568,908.08,2024-02-16
568,569,Customer 569,1461.09,2024-06-26
569,570,Customer 570,878.15,2024-10-18
570,571,Customer 571,612.4,2024-04-12
571,572,Customer 572,938.9,2024-05-05
572,573,Customer 573,790.95,2023-12-10
573,574,Customer 574,102.68,2024-10-18
574,575,Customer 575,509.85,2024-09-20
575,576,Customer 576,809.72,2024-03-12
576,577,Customer 577,1114.39,2024-08-10
577,578,Customer 578,1137.65,2024-10-10
578,579,Customer 579,1321.29,2024-10-10
579,580,Customer 580,232.56,2024-03-18
580,581,Customer 581,1274.22,2024-04-27
581,582,Customer 582,947.09,2024-08-10
582,583,Customer 583,1221.62,2024-09-14
583,584,Customer 584,1083.16,2024-04-16
584,585,Customer 585,223.76,2024-01-07
585,586,Customer 586,236.82,2024-09-14
586,587,Customer 587,1331.04,2023-12-24
587,588,Customer 588,1467.7,2024-05-26
588,589,Customer 589,78.17,2024-08-02
589,590,Customer 590,750.21,2024-05-19
590,591,Customer 591,701.58,2024-07-23
591,592,Customer 592,559.32,2024-06-30
592,593,Customer 593,1275.54,2024-10-25
593,594,Customer 594,183.0,2024-09-19
594,595,Customer 595,960.8,2023-12-26
595,596,Customer 596,733.92,2024-03-11
596,597,Customer 597,816.61,2024-07-03
597,598,Customer 598,93.43,2024-04-30
598,599,Customer 599,780.04,2024-03-22
599,600,Customer 600,1029.04,2024-04-22
600,601,Customer 601,502.34,2024-08-17
601,602,Customer 602,953.15,2024-04-04
602,603,Customer 603,1268.85,2024-02-06
603,604,Customer 604,545.81,2024-08-23
604,605,Customer 605,883.72,2024-07-19
605,606,Customer 606,865.27,2024-08-16
606,607,Customer 607,493.72,2024-04-26
607,608,Customer 608,763.35,2024-03-14
608,609,Customer 609,1368.51,2024-02-24
609,610,Customer 610,645.5,2024-08-31
610,611,Customer 611,258.1,2024-06-03
611,612,Customer 612,547.61,2024-01-12
612,613,Customer 613,1166.75,2024-05-22
613,614,Customer 614,400.0,2024-04-17
614,615,Customer 615,1120.07,2024-08-31
615,616,Customer 616,147.37,2024-04-10
616,617,Customer 617,425.77,2024-01-25
617,618,Customer 618,422.58,2024-02-09
618,619,Customer 619,997.75,2024-05-04
619,620,Customer 620,638.46,2024-10-13
620,621,Customer 621,702.79,2024-07-27
621,622,Customer 622,430.44,2024-03-12
622,623,Customer 623,1225.32,2024-07-02
623,624,Customer 624,789.3,2024-08-16
624,625,Customer 625,916.16,2024-06-09
625,626,Customer 626,1216.42,2024-06-01
626,627,Customer 627,825.83,2023-12-21
627,628,Customer 628,795.49,2024-03-27
628,629,Customer 629,306.76,2024-08-01
629,630,Customer 630,788.63,2024-06-14
630,631,Customer 631,671.71,2024-02-27
631,632,Customer 632,398.91,2024-06-04
632,633,Customer 633,124.37,2024-04-08
633,634,Customer 634,854.3,2024-07-30
634,635,Customer 635,684.25,2024-07-09
635,636,Customer 636,1293.12,2024-04-28
636,637,Customer 637,429.39,2023-11-09
637,638,Customer 638,93.27,2024-09-16
638,639,Customer 639,137.22,2023-12-21
639,640,Customer 640,839.23,2024-06-01
640,641,Customer 641,1215.17,2024-09-05
641,642,Customer 642,325.46,2023-10-31
642,643,Customer 643,1126.15,2024-07-18
643,644,Customer 644,1088.45,2023-11-28
644,645,Customer 645,1415.47,2024-08-27
645,646,Customer 646,731.34,2023-12-31
646,647,Customer 647,122.17,2024-08-07
647,648,Customer 648,1375.97,2023-11-28
648,649,Customer 649,534.08,2024-04-12
649,650,Customer 650,737.43,2023-12-12
650,651,Customer 651,357.27,2024-08-10
651,652,Customer 652,676.83,2024-06-06
652,653,Customer 653,426.75,2024-10-20
